epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,7127.76,0.54652,0.60972,0.92335,0.92878,0.96215,0.995,0.87951,0.5743,0.56458,0.80353,0.00087875,0.00087875,0.00087875
26,7347.21,0.5362,0.56941,0.90497,0.81479,0.95833,0.95536,0.84115,0.58543,0.60024,0.8132,0.000863281,0.000863281,0.000863281
27,7626.83,0.51837,0.53195,0.90182,0.91053,0.95833,0.96714,0.84967,0.56383,0.50594,0.7885,0.000847813,0.000847813,0.000847813
28,7886.91,0.52167,0.51711,0.91267,0.85882,0.8436,0.94375,0.84647,0.55706,0.64353,0.77856,0.000832344,0.000832344,0.000832344
29,8113.14,0.53669,0.53234,0.91292,0.91729,0.88232,0.92869,0.81566,0.56268,0.66833,0.78316,0.000816875,0.000816875,0.000816875
30,8362.12,0.55356,0.5551,0.91728,0.85699,0.95415,0.95588,0.83955,0.56097,0.56434,0.80138,0.000801406,0.000801406,0.000801406
31,8566.92,0.51968,0.58461,0.92141,0.76483,0.89678,0.84865,0.7559,0.59999,0.74962,0.82652,0.000785938,0.000785938,0.000785938
32,8760.66,0.51033,0.54674,0.90815,0.86455,0.97571,0.91208,0.80345,0.55838,0.48458,0.79352,0.000770469,0.000770469,0.000770469
33,8954.49,0.5321,0.53798,0.91692,0.9017,0.92134,0.97679,0.85833,0.58712,0.49277,0.81955,0.000755,0.000755,0.000755
34,9146.26,0.51016,0.51227,0.89454,0.84748,0.98743,0.995,0.86203,0.60565,0.52625,0.79676,0.000739531,0.000739531,0.000739531
35,9345.84,0.5268,0.52381,0.90456,0.88039,0.90996,0.97417,0.86503,0.52354,0.55962,0.78164,0.000724062,0.000724062,0.000724062
36,9536.41,0.50003,0.50011,0.90768,0.91548,1,0.97,0.84823,0.55378,0.48203,0.80241,0.000708594,0.000708594,0.000708594
37,9729.2,0.49295,0.46558,0.8939,0.86963,0.8921,0.97,0.84267,0.5617,0.55963,0.7869,0.000693125,0.000693125,0.000693125
